Date,Description,Amount (Negated),Amount,Category,Amount (Raw),Entered,Reconciled
4/14/2023,javit AC cleaning,6600.0,0.0,Expenses:Professional Fees,-6600.0,True,True
4/14/2023,red green bell pepper,245.0,0.0,Expenses:Food:Groceries,-245.0,True,True
4/15/2023,edlink taxi,100.0,0.0,Expenses:Transportation:Public,-100.0,True,True
4/17/2023,mam b delivery,112.0,0.0,Expenses:Professional Fees,-112.0,True,True
4/19/2023,mercury del. fee,100.0,0.0,Expenses:Professional Fees,-100.0,True,True
4/20/2023,navi gift,1000.0,0.0,Expenses:Gifts,-1000.0,True,True
4/20/2023,soda,200.0,0.0,Expenses:Food:Groceries,-200.0,True,True
4/21/2023,SANTA FE car payment,2000.0,0.0,Expenses:Transportation:Registration,-2000.0,True,True
4/23/2023,michelle Overtime,325.0,0.0,Expenses:Household Staff:Michelle:OT,-325.0,True,True
4/24/2023,car pick up driver,100.0,0.0,Expenses:Professional Fees,-100.0,True,True
4/24/2023,grab parañaque switch controler,399.0,0.0,Expenses:Professional Fees,-399.0,True,True
4/25/2023,good gear parts,5400.0,0.0,Expenses:Food:Groceries,-5400.0,True,True
4/25/2023,grab to home,135.0,0.0,Expenses:Transportation:Public,-135.0,True,True
4/25/2023,grab to hyundai,240.0,0.0,Expenses:Transportation:Public,-240.0,True,True
4/27/2023,Brgy. ID Renewal ara & michelle,100.0,0.0,Expenses:Household Staff,-100.0,True,True
4/27/2023,car payment,6400.0,0.0,Expenses:Transportation:Registration,-6400.0,True,True
4/27/2023,Grab edlink,130.0,0.0,Expenses:Transportation:Public,-130.0,True,True
4/27/2023,kuysen oven check up,800.0,0.0,Expenses:Housing:Repairs,-800.0,True,True
4/27/2023,taxi edlink to home,100.0,0.0,Expenses:Transportation:Public,-100.0,True,True
4/28/2023,mongo,60.0,0.0,Expenses:Food:Groceries,-60.0,True,True
4/28/2023,pampano fish,430.0,0.0,Expenses:Food:Groceries,-430.0,True,True
5/3/2023,coach rey tennis,900.0,0.0,Expenses:Health:Sports,-900.0,True,True
5/3/2023,milk / yougurt,475.0,0.0,Expenses:Food:Groceries,-475.0,True,True
5/4/2023,beef tenderloin,1158.0,0.0,Expenses:Food:Groceries,-1158.0,True,True
5/4/2023,brussels sprouts,315.0,0.0,Expenses:Food:Groceries,-315.0,True,True
5/4/2023,choco bits cookies,287.0,0.0,Expenses:Food:Groceries,-287.0,True,True
5/4/2023,gormet olives,215.0,0.0,Expenses:Food:Groceries,-215.0,True,True
5/4/2023,grab to arguilla,257.0,0.0,Expenses:Transportation:Public,-257.0,True,True
5/4/2023,grab to santis,250.0,0.0,Expenses:Transportation:Public,-250.0,True,True
5/4/2023,kalamata olives,248.0,0.0,Expenses:Food:Groceries,-248.0,True,True
5/4/2023,lamb shoulder,878.0,0.0,Expenses:Food:Groceries,-878.0,True,True
5/4/2023,lazada butane,217.0,0.0,Expenses:Household Supplies,-217.0,True,True
5/5/2023,malunggay,45.0,0.0,Expenses:Food:Groceries,-45.0,True,True
5/5/2023,pinkies milk & del. fee,550.0,0.0,Expenses:Professional Fees,-550.0,True,True
5/5/2023,shadows news paper,350.0,0.0,Expenses:Household Supplies:Pet Expenses,-350.0,True,True
5/5/2023,twins birthday gift,2200.0,0.0,Expenses:Gifts,-2200.0,True,True
5/9/2023,dill herbs,185.0,0.0,Expenses:Food:Groceries,-185.0,True,True
5/9/2023,thyme leaves,185.0,0.0,Expenses:Food:Groceries,-185.0,True,True
5/10/2023,Andy Maluche bread,1695.0,0.0,Expenses:Food:Groceries,-1695.0,True,True
5/10/2023,grab santis,250.0,0.0,Expenses:Professional Fees,-250.0,True,True
5/10/2023,mussels meat,467.0,0.0,Expenses:Food:Groceries,-467.0,True,True
5/11/2023,Ara angkas,100.0,0.0,Expenses:Transportation:Public,-100.0,True,True
5/11/2023,dahon sili,35.0,0.0,Expenses:Food:Groceries,-35.0,True,True
5/11/2023,wrapper,60.0,0.0,Expenses:Household Supplies,-60.0,True,True
5/13/2023,ara cake,750.0,0.0,Expenses:Gifts,-750.0,True,True
5/13/2023,lunch order,950.0,0.0,Expenses:Food:Dining,-950.0,True,True
5/16/2023,gym registration,1500.0,0.0,Expenses:Food:Groceries,-1500.0,True,True
5/17/2023,comfort zone collar shadow,2000.0,0.0,Expenses:Household Supplies:Pet Expenses,-2000.0,True,True
5/18/2023,sir gio helmet LBC,470.0,0.0,Expenses:Professional Fees,-470.0,True,True
