Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week,transaction_source,predicted_category,confidence
9/19/2025,broccoli ,480.0,,,18004,,,,household,Expenses:Food:Groceries,0.4843412097041318
9/19/2025,flowers ,550.0,,,17454,,,,household,Expenses:Food:Groceries,0.3103271973168712
9/19/2025,potato ,380.0,,,17074,,,,household,Expenses:Food:Groceries,0.5735635710280672
9/19/2025,banana ,225.0,,,16849,,,,household,Expenses:Food:Groceries,0.5018102436816979
9/19/2025,luya ,152.0,,,16697,,,,household,Expenses:Food:Groceries,0.4188271513982524
9/19/2025,white onion ,230.0,,,16467,,,,household,Expenses:Food:Groceries,0.631940037956401
9/19/2025,red onion ,250.0,,,16217,,,,household,Expenses:Food:Groceries,0.6643658273161694
9/19/2025,lemon ,150.0,,,16067,,,,household,Expenses:Food:Groceries,0.6202249766137953
9/19/2025,romaine ,480.0,,,15587,,,,household,Expenses:Food:Groceries,0.5666799794388246
9/19/2025,zucchini ,205.0,,,15382,,,,household,Expenses:Food:Groceries,0.4005461296089543
9/19/2025,tomato ,182.0,,,15200,,,,household,Expenses:Food:Groceries,0.6255153392225815
9/19/2025,snow peas ,100.0,,,15100,,,,household,Expenses:Food:Groceries,0.4032214801056955
9/19/2025,iceberg ,310.0,,,14790,,,,household,Expenses:Food:Groceries,0.197066328401543
9/19/2025,apple ,300.0,,,14490,,,,household,Expenses:Food:Groceries,0.6279991296797853
9/19/2025,orange ,150.0,,,14340,,,,household,Expenses:Food:Groceries,0.492737857605803
9/19/2025,grapes ,380.0,,,13960,,,,household,Expenses:Food:Groceries,0.4862950104536661
9/19/2025,mango ,380.0,,,13580,,,,household,Expenses:Food:Groceries,0.3636158394415842
9/19/2025,pineapple ,220.0,,,13360,,,,household,Expenses:Food:Groceries,0.264932423146946
9/19/2025,banana ,200.0,,,13160,,,,household,Expenses:Food:Groceries,0.5018102436816979
9/19/2025,egg ,430.0,,,12730,,,,household,Expenses:Food:Groceries,0.6142585953246431
9/19/2025,spinach ,290.0,,,12440,,,,household,Expenses:Food:Groceries,0.4272355195970754
9/19/2025,mint ,100.0,,,12340,,,,household,Expenses:Food:Groceries,0.5146244335996201
9/19/2025,basil ,100.0,,,12240,,,,household,Expenses:Food:Groceries,0.4866852836349109
9/19/2025,cabbage ,225.0,,,12015,,,,household,Expenses:Food:Groceries,0.3695656908589362
9/19/2025,strawberry ,400.0,,,11615,,,,household,Expenses:Food:Groceries,0.432751035087592
9/19/2025,mango ,170.0,,,11445,,,,household,Expenses:Food:Groceries,0.3636158394415842
9/19/2025,bell pepper ,260.0,,,11185,,,,household,Expenses:Food:Groceries,0.6121399787017718
